title,Type,Episodes,Status,Premiered,Released_Season,Released_Year,Genres,Themes,Studios,Producers,Demographic,Rating,Score,Ranked,Popularity,Members,Favorites
Dive!!,TV,12,Finished Airing,Summer 2017,Summer,2017.0,"Drama, Sports",,Zero-G,"Aniplex, Dentsu, Fuji TV, DMM pictures",,PG-13 - Teens 13 or older,6.08,9826.0,3273.0,55453.0,77.0
Koutetsujou no Kabaneri Movie 3: Unato Kessen,Movie,1,Finished Airing,,,,"Action, Fantasy, Horror, Suspense","Gore, Historical, Survival",Wit Studio,"Aniplex, Dentsu, Fuji TV, Kansai TV, MAGNET",,R - 17+ (violence & profanity),7.68,1410.0,1754.0,146586.0,273.0
Shoukoku no Altair,TV,24,Finished Airing,Summer 2017,Summer,2017.0,"Adventure, Drama","Historical, Military",MAPPA,"Aniplex, Mainichi Broadcasting System, Kodansha, Lucent Pictures Entertainment, Hakuhodo DY Music & Pictures, Lawson, GYAO!, Kanetsu Investment, Christmas Holly",Shounen,PG-13 - Teens 13 or older,7.55,1822.0,2601.0,83519.0,337.0
Cheer Danshi!! Specials,Special,2,Finished Airing,,,,Sports,"Performing Arts, School",Brain's Base,add some,,PG-13 - Teens 13 or older,5.81,11285.0,11084.0,2901.0,2.0
Ryuu no Haisha,TV Special,2,Finished Airing,,,,"Adventure, Fantasy",,Khara,"NHK, Dwango",,PG-13 - Teens 13 or older,7.34,2709.0,3709.0,44774.0,99.0
Warau Salesman New,TV,12,Finished Airing,Spring 2017,Spring,2017.0,"Comedy, Drama",Adult Cast,Shin-Ei Animation,"TMS Entertainment, Nippon Columbia, Shogakukan Music & Digital Entertainment, JR East Marketing & Communications, Sumitomo",Seinen,PG-13 - Teens 13 or older,6.29,8582.0,5339.0,20217.0,20.0
Dream Festival! R,,,,,,,,,,,,,6.83,,,,
Re:Creators,TV,22,Finished Airing,Spring 2017,Spring,2017.0,"Action, Fantasy",Urban Fantasy,TROYCA,"Aniplex, Magic Capsule, Shogakukan, ABC Animation",,R - 17+ (violence & profanity),7.55,1872.0,457.0,534980.0,3713.0
Jikan no Shihaisha,TV,13,Finished Airing,Summer 2017,Summer,2017.0,"Action, Supernatural",,Project No.9,"Lantis, NBCUniversal Entertainment Japan, FanFan Inc., Youku",Shounen,PG-13 - Teens 13 or older,6.3,8526.0,2863.0,71066.0,92.0
Boruto: Naruto Next Generations,TV,293,Finished Airing,Spring 2017,Spring,2017.0,"Action, Adventure, Fantasy",Martial Arts,Studio Pierrot,"TV Tokyo, Aniplex, Rakuonsha, Shueisha",Shounen,PG-13 - Teens 13 or older,5.98,10370.0,215.0,915837.0,7419.0
Black Clover,TV,170,Finished Airing,Fall 2017,Fall,2017.0,"Action, Fantasy",,Studio Pierrot,"TV Tokyo, Avex Pictures, Shueisha",Shounen,PG-13 - Teens 13 or older,8.14,498.0,54.0,1841614.0,49919.0
